cip_code,cip_title
10.0304,"Animation, Interactive Technology, Video Graphics and Special Effects"
11.0101,"Computer and Information Sciences, General"
11.0102,Artificial Intelligence
11.0103,Information Technology
11.0104,Informatics
11.0105,Human-Centered Technology Design
11.0199,"Computer Science, Other"
11.0201,"Computer Programming/Programmer, General"
11.0202,Computer Programming Special Applications
11.0203,"Computer Programming, Vendor/Product Certification"
11.0204,Computer Game Programming
11.0205,"Computer Programming, Specific Platforms"
11.0299,"Computer Programming, Other"
11.0301,Data Processing and Data Processing Technology/Technician
11.0401,Information Science/Studies
11.0501,Computer Systems Analysis/Analyst
11.0701,Computer Science
11.0801,"Web Page, Digital/Multimedia and Information Resources Design"
11.0802,Data Modeling/Warehousing and Database Administration
11.0803,Computer Graphics
11.0804,"Modeling, Virtual Environments and Simulation"
11.0899,"Computer Software and Media Applications, Other"
11.0901,Computer Systems Networking and Telecommunications
11.0902,Cloud Computing
11.1001,Network and System Administration/Administrator
11.1002,"System, Networking, and LAN/WAN Management/Manager"
11.1003,Computer and Information Systems Security/Information
11.1004,Web/Multimedia Management and Webmaster
11.1005,Information Technology Project Management
11.1006,Computer Support Specialist
11.1099,"Computer/Information Technology Services Administration and Management, Other"
11.9999,Computer and Information Sciences and Support Services
14.0901,"Computer Engineering, General"
14.0902,Computer Hardware Engineering
14.0903,Computer Software Engineering
14.0999,"Computer Engineering, Other"
26.1103,Bioinformatics
26.1104,Computational Biology
26.1199,"Biomathematics, Bioinformatics, and Computational Biology, Other"
27.0303,Computational Mathematics
27.0304,Computational and Applied Mathematics
30.0801,Mathematics and Computer Science
30.1601,Accounting and Computer Science
30.3001,Computational Science
30.3101,Human Computer Interaction
30.4801,Linguistics and Computer Science
30.7001,"Data Science, General"
30.7099,"Data Science, Other"
30.7101,"Data Analytics, General"
30.7102,Business Analytics
30.7103,Data Visualization
30.7104,Financial Analytics
30.7199,"Data Analytics, Other"
50.0102,Digital Arts
51.2706,Medical Informatics
52.1201,"Management Information Systems, General"
9.0702,Digital Communication and Media/Multimedia
